Service,Gender,Installation or Command Location,Avg. Pop. (FY14),Sexual Assault Risk,Estimated Sexual Assaults,Installation- Specific Risk
USMC,Women,MCC No. K18,152,14.20%,22,1.20%
USMC,Women,MCC No. ZZZ,371,7.90%,29,-0.10%
USMC,Men,MCC No. 007,3529,0.40%,15,-0.10%
USMC,Men,MCC No. 011,1415,0.30%,4,0.00%
USMC,Men,MCC No. 012,1940,0.80%,15,0.00%
USMC,Men,MCC No. 013,3499,0.80%,28,0.00%
USMC,Men,MCC No. 014,4644,1.00%,47,-0.10%
USMC,Men,MCC No. 015,1568,0.70%,11,-0.10%
USMC,Men,MCC No. 016,3234,1.10%,34,0.00%
USMC,Men,MCC No. 017,3362,1.20%,39,0.00%
USMC,Men,MCC No. 022,1302,0.90%,11,-0.10%
USMC,Men,MCC No. 023,784,0.60%,4,-0.30%
USMC,Men,MCC No. 063,301,0.50%,2,0.00%
USMC,Men,MCC No. 082,4055,0.50%,22,0.00%
USMC,Men,MCC No. 091,643,0.90%,6,0.00%
USMC,Men,MCC No. 092,1184,0.70%,9,0.00%
USMC,Men,MCC No. 094,2036,0.80%,16,0.20%
USMC,Men,MCC No. 110,493,0.40%,2,0.00%
USMC,Men,MCC No. 111,592,0.50%,3,0.10%
USMC,Men,MCC No. 121,18360,1.60%,287,0.20%
USMC,Men,MCC No. 122,15386,1.60%,248,0.20%
USMC,Men,MCC No. 124,5124,1.40%,69,0.10%
USMC,Men,MCC No. 142,13904,0.90%,126,0.10%
USMC,Men,MCC No. 143,13443,0.90%,118,0.00%
USMC,Men,MCC No. 145,5933,0.70%,43,-0.10%
USMC,Men,MCC No. 151,5962,0.90%,55,-0.10%
USMC,Men,MCC No. 169,5848,0.70%,43,-0.20%
USMC,Men,MCC No. 1A5,638,0.80%,5,0.00%
USMC,Men,MCC No. 1C0,5931,0.60%,38,-0.20%
USMC,Men,MCC No. 1C1,2830,0.60%,17,-0.10%
USMC,Men,MCC No. 1C2,3719,0.90%,33,0.00%
USMC,Men,MCC No. 1F1,3841,1.00%,37,0.00%
USMC,Men,MCC No. 1F2,1661,0.70%,12,-0.10%
USMC,Men,MCC No. 233,1054,1.30%,14,0.20%
USMC,Men,MCC No. G78,2934,0.80%,22,-0.20%
USMC,Men,MCC No. J15,1815,1.10%,21,-0.10%
USMC,Men,MCC No. K18,1601,1.20%,19,-0.20%
USMC,Men,MCC No. K46,1347,0.80%,10,-0.10%
USMC,Men,MCC No. S8F,1309,0.70%,9,0.00%
USMC,Men,MCC No. SA5,1186,0.40%,5,0.00%
USMC,Men,MCC No. SMA,1344,0.70%,10,0.00%
USMC,Men,MCC No. SR2,533,0.50%,3,0.00%
USMC,Men,MCC No. TMG,983,0.50%,5,0.00%
USMC,Men,MCC No. ZZZ,5052,1.00%,50,-0.10%
